event_id,transaction_id,account_id,protocol_id,event_type,token_id,amount,collateral_amount,debt_amount,timestamp
1,1,545,3,DEPOSIT,2,3209.961036,3209.961036,,2025-01-01 00:09:59
2,3,314,1,DEPOSIT,3,5280.225797,5280.225797,,2025-01-01 00:25:49
3,6,698,4,WITHDRAW,1,9500.143369,,,2025-01-01 00:54:42
4,10,728,3,DEPOSIT,2,4097.942044,4097.942044,,2025-01-01 02:18:26
5,13,501,3,BORROW,5,1756.930679,4170.3190124617,1756.930679,2025-01-01 02:59:26
6,16,235,2,BORROW,4,927.719492,2141.2959061692,927.719492,2025-01-01 03:21:16
7,17,631,1,DEPOSIT,4,6632.138852,6632.138852,,2025-01-01 03:21:46
8,20,200,4,DEPOSIT,1,703.134996,703.134996,,2025-01-01 04:02:36
9,21,165,1,WITHDRAW,1,6850.780657,,,2025-01-01 04:39:54
10,22,738,3,BORROW,3,480.457211,1071.3656270331,480.457211,2025-01-01 04:41:25
11,23,391,4,BORROW,1,7710.084789,16944.0834475328,7710.084789,2025-01-01 05:03:45
12,25,397,4,BORROW,2,6164.824167,12261.1437292159,6164.824167,2025-01-01 05:38:27
13,27,398,1,WITHDRAW,3,4323.048504,,,2025-01-01 06:21:18
14,28,728,2,WITHDRAW,4,8402.952127,,,2025-01-01 06:31:27
15,33,161,2,WITHDRAW,4,9432.560809,,,2025-01-01 07:49:20
16,34,684,2,WITHDRAW,5,6415.969029,,,2025-01-01 08:03:26
17,36,628,1,DEPOSIT,1,7871.752941,7871.752941,,2025-01-01 09:06:38
18,37,891,3,BORROW,1,9322.4702,19825.8004666702,9322.4702,2025-01-01 09:32:31
19,38,219,3,BORROW,1,6269.993691,12671.2262463698,6269.993691,2025-01-01 09:43:13
20,41,1000,4,BORROW,2,1060.982445,2093.3990838416,1060.982445,2025-01-01 10:24:45
21,44,139,1,DEPOSIT,2,9929.039054,9929.039054,,2025-01-01 11:58:12
22,45,650,3,DEPOSIT,1,6032.097457,6032.097457,,2025-01-01 12:26:48
23,47,25,2,WITHDRAW,1,7008.143702,,,2025-01-01 13:21:25
24,48,280,1,DEPOSIT,4,3335.859453,3335.859453,,2025-01-01 14:03:11
25,49,640,1,BORROW,5,3096.833642,5050.4042825111,3096.833642,2025-01-01 14:20:03
26,51,725,2,WITHDRAW,3,4893.415891,,,2025-01-01 14:28:44
27,52,87,1,WITHDRAW,5,239.844511,,,2025-01-01 14:34:57
28,54,755,1,WITHDRAW,5,1570.875468,,,2025-01-01 15:01:36
29,55,647,1,DEPOSIT,1,571.102493,571.102493,,2025-01-01 15:24:48
30,56,191,1,BORROW,1,4386.396738,6543.5892718813,4386.396738,2025-01-01 15:33:11
31,57,82,2,BORROW,5,4812.836685,7348.7391219778,4812.836685,2025-01-01 16:11:12
32,58,191,1,REPAY,5,2185.586635,,2185.586635,2025-01-01 16:27:52
33,59,203,2,WITHDRAW,5,7002.670532,,,2025-01-01 16:46:47
34,60,869,4,WITHDRAW,2,6356.616278,,,2025-01-01 17:08:07
35,63,82,3,BORROW,1,5922.572371,14638.4082621784,5922.572371,2025-01-01 17:46:54
36,68,15,2,WITHDRAW,2,5933.442264,,,2025-01-01 19:28:58
37,70,234,4,DEPOSIT,4,4356.724659,4356.724659,,2025-01-01 20:00:46
38,73,701,2,DEPOSIT,5,5301.070837,5301.070837,,2025-01-01 20:44:19
39,75,705,4,WITHDRAW,3,7870.193323,,,2025-01-01 21:39:23
40,78,330,4,BORROW,4,6065.737788,13773.3919480548,6065.737788,2025-01-01 21:44:38
41,81,497,2,DEPOSIT,5,8243.123056,8243.123056,,2025-01-01 22:31:05
42,82,303,3,DEPOSIT,2,2489.782432,2489.782432,,2025-01-01 23:01:42
43,84,477,4,WITHDRAW,4,5557.09098,,,2025-01-01 23:22:10
44,86,18,4,BORROW,3,3751.337746,5415.3329732418,3751.337746,2025-01-01 23:32:22
45,87,27,2,DEPOSIT,4,3272.83855,3272.83855,,2025-01-01 23:39:47
46,88,332,1,BORROW,5,8844.27017,11459.3877176853,8844.27017,2025-01-01 23:43:20
47,89,509,2,BORROW,1,1600.542268,3464.6269122179,1600.542268,2025-01-02 00:01:16
48,93,44,2,BORROW,2,9548.768099,12239.838290227,9548.768099,2025-01-02 00:17:46
49,95,42,2,BORROW,1,2372.109304,5772.0037243584,2372.109304,2025-01-02 00:39:22
50,98,267,4,BORROW,3,385.293034,596.9975427027,385.293034,2025-01-02 01:29:22
51,99,789,1,BORROW,2,512.434873,648.1701263368,512.434873,2025-01-02 01:57:58
52,100,211,3,BORROW,5,8346.004013,11250.7567252877,8346.004013,2025-01-02 02:06:33
53,101,370,3,DEPOSIT,2,2175.892519,2175.892519,,2025-01-02 02:09:56
54,105,100,2,BORROW,2,9712.307962,16203.6239215052,9712.307962,2025-01-02 03:03:17
55,107,124,4,DEPOSIT,1,1754.067081,1754.067081,,2025-01-02 03:14:57
56,110,673,3,BORROW,3,7216.821287,12148.7906398159,7216.821287,2025-01-02 03:44:32
57,113,613,2,WITHDRAW,5,3738.941943,,,2025-01-02 05:35:28
