label_id,account_id,outcome_window_start,outcome_window_end,future_liquidation_count,future_borrow_count,future_repay_count,future_failed_tx_ratio,risk_score,risk_label
90,90,2025-05-01,2025-07-01,0,0,5,0.333333,0.066667,MEDIUM
93,93,2025-05-01,2025-07-01,0,0,0,0.2,0.04,MEDIUM
153,153,2025-05-01,2025-07-01,0,0,5,0.2,0.04,MEDIUM
162,162,2025-05-01,2025-07-01,0,0,7,0.142857,0.028571,MEDIUM
1,1,2025-05-01,2025-07-01,0,0,7,0.0,0.0,MEDIUM
2,2,2025-05-01,2025-07-01,0,0,4,0.0,0.0,MEDIUM
167,167,2025-05-01,2025-07-01,0,0,6,0.142857,0.028571,MEDIUM
170,170,2025-05-01,2025-07-01,0,1,5,0.142857,0.028571,MEDIUM
3,3,2025-05-01,2025-07-01,0,0,5,0.0,0.0,MEDIUM
178,178,2025-05-01,2025-07-01,0,0,4,0.090909,0.018182,MEDIUM
180,180,2025-05-01,2025-07-01,0,2,3,0.166667,0.033333,MEDIUM
181,181,2025-05-01,2025-07-01,0,0,0,0.142857,0.028571,MEDIUM
4,4,2025-05-01,2025-07-01,0,0,1,0.0,0.0,MEDIUM
189,189,2025-05-01,2025-07-01,0,1,4,0.1,0.02,MEDIUM
197,197,2025-05-01,2025-07-01,1,0,5,0.222222,0.644444,HIGH
7,7,2025-05-01,2025-07-01,0,0,9,0.0,0.0,MEDIUM
198,198,2025-05-01,2025-07-01,0,0,7,0.142857,0.028571,MEDIUM
8,8,2025-05-01,2025-07-01,0,0,11,0.0,0.0,MEDIUM
203,203,2025-05-01,2025-07-01,0,0,4,0.166667,0.033333,MEDIUM
206,206,2025-05-01,2025-07-01,0,0,6,0.166667,0.033333,MEDIUM
213,213,2025-05-01,2025-07-01,0,0,8,0.111111,0.022222,MEDIUM
232,232,2025-05-01,2025-07-01,0,0,2,0.2,0.04,MEDIUM
10,10,2025-05-01,2025-07-01,0,0,5,0.0,0.0,MEDIUM
11,11,2025-05-01,2025-07-01,0,1,1,0.0,0.0,MEDIUM
233,233,2025-05-01,2025-07-01,0,0,6,0.111111,0.022222,MEDIUM
234,234,2025-05-01,2025-07-01,0,0,0,0.2,0.04,MEDIUM
443,443,2025-05-01,2025-07-01,0,1,2,0.1,0.02,MEDIUM
454,454,2025-05-01,2025-07-01,0,1,8,0.111111,0.022222,MEDIUM
12,12,2025-05-01,2025-07-01,0,0,0,0.0,0.0,MEDIUM
14,14,2025-05-01,2025-07-01,0,0,5,0.0,0.0,MEDIUM
15,15,2025-05-01,2025-07-01,0,0,3,0.0,0.0,MEDIUM
17,17,2025-05-01,2025-07-01,0,0,0,0.0,0.0,MEDIUM
19,19,2025-05-01,2025-07-01,0,0,3,0.0,0.0,MEDIUM
455,455,2025-05-01,2025-07-01,0,0,6,0.285714,0.057143,MEDIUM
456,456,2025-05-01,2025-07-01,0,0,4,0.142857,0.028571,MEDIUM
550,550,2025-05-01,2025-07-01,0,0,9,0.111111,0.022222,MEDIUM
20,20,2025-05-01,2025-07-01,0,1,0,0.0,0.0,MEDIUM
21,21,2025-05-01,2025-07-01,0,0,4,0.0,0.0,MEDIUM
22,22,2025-05-01,2025-07-01,0,0,3,0.0,0.0,MEDIUM
558,558,2025-05-01,2025-07-01,0,0,7,0.111111,0.022222,MEDIUM
25,25,2025-05-01,2025-07-01,0,0,2,0.0,0.0,MEDIUM
26,26,2025-05-01,2025-07-01,0,0,8,0.0,0.0,MEDIUM
27,27,2025-05-01,2025-07-01,0,0,0,0.0,0.0,MEDIUM
28,28,2025-05-01,2025-07-01,0,1,5,0.0,0.0,MEDIUM
34,34,2025-05-01,2025-07-01,0,1,2,0.0,0.0,MEDIUM
51,51,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
52,52,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
35,35,2025-05-01,2025-07-01,0,1,1,0.0,0.0,MEDIUM
36,36,2025-05-01,2025-07-01,0,0,1,0.0,0.0,MEDIUM
55,55,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
56,56,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
57,57,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
58,58,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
59,59,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
60,60,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
40,40,2025-05-01,2025-07-01,0,1,3,0.0,0.0,MEDIUM
62,62,2025-05-01,2025-07-01,0,0,8,0.0,0.0,LOW
43,43,2025-05-01,2025-07-01,0,0,7,0.0,0.0,MEDIUM
64,64,2025-05-01,2025-07-01,0,2,2,0.0,0.0,LOW
44,44,2025-05-01,2025-07-01,0,0,0,0.0,0.0,MEDIUM
66,66,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
67,67,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
46,46,2025-05-01,2025-07-01,0,1,2,0.0,0.0,MEDIUM
69,69,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
70,70,2025-05-01,2025-07-01,0,1,3,0.0,0.0,LOW
71,71,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
72,72,2025-05-01,2025-07-01,0,0,8,0.0,0.0,LOW
73,73,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
74,74,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
75,75,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
76,76,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
77,77,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
78,78,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
79,79,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
80,80,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
81,81,2025-05-01,2025-07-01,0,1,8,0.0,0.0,LOW
47,47,2025-05-01,2025-07-01,0,1,2,0.0,0.0,MEDIUM
83,83,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
84,84,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
85,85,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
86,86,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
49,49,2025-05-01,2025-07-01,0,0,10,0.0,0.0,MEDIUM
88,88,2025-05-01,2025-07-01,0,0,8,0.0,0.0,LOW
89,89,2025-05-01,2025-07-01,0,0,9,0.0,0.0,LOW
91,91,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
92,92,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
94,94,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
95,95,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
96,96,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
97,97,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
565,565,2025-05-01,2025-07-01,0,0,3,0.2,0.04,MEDIUM
99,99,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
100,100,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
572,572,2025-05-01,2025-07-01,0,0,0,0.142857,0.028571,MEDIUM
102,102,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
103,103,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
573,573,2025-05-01,2025-07-01,0,0,0,0.166667,0.033333,MEDIUM
105,105,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
106,106,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
578,578,2025-05-01,2025-07-01,0,0,7,0.111111,0.022222,MEDIUM
108,108,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
109,109,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
583,583,2025-05-01,2025-07-01,0,0,0,0.166667,0.033333,MEDIUM
111,111,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
585,585,2025-05-01,2025-07-01,0,0,13,0.066667,0.013333,MEDIUM
113,113,2025-05-01,2025-07-01,0,0,1,0.0,0.0,LOW
114,114,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
115,115,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
116,116,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
117,117,2025-05-01,2025-07-01,0,0,10,0.0,0.0,LOW
778,778,2025-05-01,2025-07-01,0,1,5,0.142857,0.028571,MEDIUM
801,801,2025-05-01,2025-07-01,0,1,5,0.1,0.02,MEDIUM
804,804,2025-05-01,2025-07-01,1,0,2,0.142857,0.628571,HIGH
815,815,2025-05-01,2025-07-01,0,0,8,0.1,0.02,MEDIUM
122,122,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
123,123,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
124,124,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
125,125,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
816,816,2025-05-01,2025-07-01,1,2,4,0.066667,0.613333,HIGH
127,127,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
817,817,2025-05-01,2025-07-01,0,0,3,0.166667,0.033333,MEDIUM
821,821,2025-05-01,2025-07-01,1,3,0,0.142857,0.778571,HIGH
130,130,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
836,836,2025-05-01,2025-07-01,1,0,4,0.1,0.62,HIGH
132,132,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
133,133,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
134,134,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
136,136,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
137,137,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
139,139,2025-05-01,2025-07-01,0,1,9,0.0,0.0,LOW
140,140,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
141,141,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
142,142,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
143,143,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
144,144,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
147,147,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
148,148,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
149,149,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
152,152,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
154,154,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
156,156,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
157,157,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
158,158,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
159,159,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
160,160,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
161,161,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
163,163,2025-05-01,2025-07-01,0,0,1,0.0,0.0,LOW
164,164,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
165,165,2025-05-01,2025-07-01,0,1,3,0.0,0.0,LOW
166,166,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
168,168,2025-05-01,2025-07-01,0,0,9,0.0,0.0,LOW
169,169,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
171,171,2025-05-01,2025-07-01,0,1,5,0.0,0.0,LOW
172,172,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
173,173,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
174,174,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
175,175,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
179,179,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
182,182,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
183,183,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
184,184,2025-05-01,2025-07-01,0,0,11,0.0,0.0,LOW
186,186,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
187,187,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
188,188,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
190,190,2025-05-01,2025-07-01,0,1,5,0.0,0.0,LOW
191,191,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
194,194,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
195,195,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
196,196,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
200,200,2025-05-01,2025-07-01,0,0,1,0.0,0.0,LOW
201,201,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
204,204,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
205,205,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
209,209,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
211,211,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
215,215,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
216,216,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
217,217,2025-05-01,2025-07-01,0,1,9,0.0,0.0,LOW
218,218,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
220,220,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
221,221,2025-05-01,2025-07-01,0,3,6,0.0,0.0,LOW
223,223,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
224,224,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
226,226,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
227,227,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
228,228,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
229,229,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
230,230,2025-05-01,2025-07-01,0,0,8,0.0,0.0,LOW
231,231,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
235,235,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
237,237,2025-05-01,2025-07-01,0,1,9,0.0,0.0,LOW
243,243,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
245,245,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
247,247,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
248,248,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
249,249,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
250,250,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
251,251,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
253,253,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
254,254,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
255,255,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
258,258,2025-05-01,2025-07-01,0,1,3,0.0,0.0,LOW
259,259,2025-05-01,2025-07-01,0,0,13,0.0,0.0,LOW
260,260,2025-05-01,2025-07-01,0,1,10,0.0,0.0,LOW
261,261,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
263,263,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
265,265,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
268,268,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
269,269,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
272,272,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
275,275,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
276,276,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
277,277,2025-05-01,2025-07-01,0,1,5,0.0,0.0,LOW
278,278,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
279,279,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
280,280,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
515,515,2025-05-01,2025-07-01,0,1,4,0.142857,0.028571,MEDIUM
283,283,2025-05-01,2025-07-01,0,2,5,0.0,0.0,LOW
284,284,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
285,285,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
286,286,2025-05-01,2025-07-01,0,2,3,0.0,0.0,LOW
533,533,2025-05-01,2025-07-01,0,0,5,0.166667,0.033333,MEDIUM
289,289,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
291,291,2025-05-01,2025-07-01,0,2,2,0.0,0.0,LOW
293,293,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
294,294,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
295,295,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
299,299,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
301,301,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
303,303,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
304,304,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
306,306,2025-05-01,2025-07-01,0,1,3,0.0,0.0,LOW
308,308,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
309,309,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
312,312,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
315,315,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
316,316,2025-05-01,2025-07-01,0,2,2,0.0,0.0,LOW
317,317,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
319,319,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
320,320,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
321,321,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
323,323,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
325,325,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
326,326,2025-05-01,2025-07-01,0,1,7,0.0,0.0,LOW
327,327,2025-05-01,2025-07-01,0,2,5,0.0,0.0,LOW
328,328,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
329,329,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
330,330,2025-05-01,2025-07-01,0,0,1,0.0,0.0,LOW
331,331,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
333,333,2025-05-01,2025-07-01,0,1,7,0.0,0.0,LOW
335,335,2025-05-01,2025-07-01,0,1,5,0.0,0.0,LOW
336,336,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
337,337,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
338,338,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
339,339,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
340,340,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
342,342,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
345,345,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
346,346,2025-05-01,2025-07-01,0,0,6,0.0,0.0,LOW
347,347,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
348,348,2025-05-01,2025-07-01,0,0,10,0.0,0.0,LOW
349,349,2025-05-01,2025-07-01,0,0,7,0.0,0.0,LOW
350,350,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
352,352,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
353,353,2025-05-01,2025-07-01,0,0,1,0.0,0.0,LOW
355,355,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
357,357,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
358,358,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
362,362,2025-05-01,2025-07-01,0,1,3,0.0,0.0,LOW
363,363,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
364,364,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
365,365,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
366,366,2025-05-01,2025-07-01,0,0,2,0.0,0.0,LOW
367,367,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
369,369,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
370,370,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
372,372,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
375,375,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
377,377,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
378,378,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
379,379,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
383,383,2025-05-01,2025-07-01,0,1,1,0.0,0.0,LOW
385,385,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
386,386,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
387,387,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
389,389,2025-05-01,2025-07-01,0,0,4,0.0,0.0,LOW
390,390,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
392,392,2025-05-01,2025-07-01,0,0,5,0.0,0.0,LOW
398,398,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
399,399,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
401,401,2025-05-01,2025-07-01,0,0,9,0.0,0.0,LOW
402,402,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
403,403,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
404,404,2025-05-01,2025-07-01,0,1,4,0.0,0.0,LOW
405,405,2025-05-01,2025-07-01,0,1,2,0.0,0.0,LOW
406,406,2025-05-01,2025-07-01,0,1,6,0.0,0.0,LOW
407,407,2025-05-01,2025-07-01,0,0,11,0.0,0.0,LOW
410,410,2025-05-01,2025-07-01,0,0,0,0.0,0.0,LOW
411,411,2025-05-01,2025-07-01,0,0,3,0.0,0.0,LOW
412,412,2025-05-01,2025-07-01,0,1,0,0.0,0.0,LOW
