transaction_id,transaction_hash,block_number,timestamp,from_account_id,to_account_id,transaction_type,amount,token_id,protocol_id,gas_used,gas_price,status,chain_id
1,0x9246536a8da02fb353d4559389c543a50395098039c711fd9dc6d827928fc284,10000001,2025-01-01 00:09:59,545,,DEPOSIT,3209.961036,2,3.0,72915,36.3663,SUCCESS,1
2,0x5719ce33e01b4cabc472475ad5534e3d8d72ff8bbec5c0fb2d5a267cd1603ef7,10000004,2025-01-01 00:23:55,642,85.0,SWAP,4917.481675,4,1.0,147905,64.8697,SUCCESS,1
3,0xb705b7f3150f3d26df522315482363116b9e5a8c0fea5eec2b5058ffcf42c191,10000005,2025-01-01 00:25:49,314,,DEPOSIT,5280.225797,3,1.0,44379,37.6408,SUCCESS,1
4,0x611991ff31e3087152c63c11ff6ca4cd69ed0f55209a6b159137b95e4eceb380,10000009,2025-01-01 00:47:27,602,178.0,SWAP,5347.578397,3,1.0,100415,44.6411,SUCCESS,1
5,0x5789fedafd45bdafd91441d8309d2efb0e733f0573d32f7ab85e8a12260d573b,10000010,2025-01-01 00:51:32,361,846.0,TRANSFER,7388.015469,4,,67737,55.7871,SUCCESS,1
6,0xc5b7487481b8e6f7571451734cdbbb1ab6698710c1ac585c57c5725af4402b92,10000010,2025-01-01 00:54:42,698,,WITHDRAW,9500.143369,1,4.0,207754,38.8279,SUCCESS,1
7,0x45414a58ed40b35d866814ad78aaf6875e84c007beb8e17fb6b3e625e648539d,10000013,2025-01-01 01:09:01,732,656.0,TRANSFER,165.771168,5,,75009,91.0289,SUCCESS,1
8,0x0bda7aaf340cd9cdee761912eff3d0b6497a4aabfd287568da00e038daab5625,10000016,2025-01-01 01:20:19,120,247.0,TRANSFER,9844.17563,3,,237680,30.5535,FAILED,1
9,0x26fc6d8195a9d6b9a2f7f4ab57d144c13b8393673e0ac5b69aa59e2729d98d86,10000019,2025-01-01 01:38:52,940,146.0,TRANSFER,2469.269898,5,,131845,71.2356,SUCCESS,1
10,0xf092b481a6e3ef1b84369a3ada7144a301746af5383c6aabbbbbea420061e0c8,10000027,2025-01-01 02:18:26,728,,DEPOSIT,4097.942044,2,3.0,236889,47.2276,SUCCESS,1
11,0x7735550a2f4a384f311181a42edf58418d6a28f1e732fdcdd101351556f60882,10000029,2025-01-01 02:29:51,285,798.0,TRANSFER,2541.720579,4,,202540,45.5922,SUCCESS,1
12,0xb640d1b465f789b3490baea515c4881e757c104058d98b6aedea54bbcecba192,10000030,2025-01-01 02:31:48,713,707.0,TRANSFER,714.538302,2,,62660,91.1995,SUCCESS,1
13,0xaa8ab63936e48cd3422348ecca586b069252db5a5b8512199e94d8bda8fb6d1f,10000035,2025-01-01 02:59:26,501,,BORROW,1756.930679,5,3.0,199495,74.3521,SUCCESS,1
14,0xbbd0fa3387ed074062c614f05ccbf18859acfab1ba288f85c3dc729dc208ce39,10000037,2025-01-01 03:09:00,712,292.0,SWAP,1093.835602,5,3.0,236712,89.704,SUCCESS,1
15,0x1b9698df2bf8aaa7e0f55b1be6bd7fce7ea76686905561f5b02d8e0968aacd4d,10000038,2025-01-01 03:11:07,207,510.0,SWAP,5187.073325,2,2.0,146519,19.841,SUCCESS,1
16,0xe53957e6f886ec80f1095a9fc2fef5ab1212e663769d4652eca72a2024e9386d,10000040,2025-01-01 03:21:16,235,,BORROW,927.719492,4,2.0,38668,31.7577,SUCCESS,1
