feature_id,account_id,transaction_count,successful_transactions,failed_transactions,failed_tx_ratio,total_volume,borrow_count,borrow_volume,repay_count,repay_volume,repayment_ratio,deposit_volume,withdrawal_volume,net_deposit_flow,unique_counterparties,unique_tokens,unique_protocols,active_days,historical_liquidation_count
1,1,8,8,0,0.0,16963.664874,1,2924.638003,5,2815.596729,0.962716,6827.03535,0.0,6827.03535,1,4,4,8,0
2,2,5,5,0,0.0,20557.907428,0,0.0,0,0.0,0.0,0.0,6108.016012,-6108.016012,3,4,2,5,0
3,3,6,5,1,0.166667,21812.394287,1,8717.222706,4,8666.188278,0.994146,0.0,0.0,0.0,1,4,3,5,0
4,4,4,4,0,0.0,16510.784969,1,4083.136978,1,2995.354129,0.733591,0.0,3573.242973,-3573.242973,1,2,3,4,0
5,5,10,9,1,0.1,20116.585008,1,4965.391805,8,7524.16544,1.0,7627.027763,0.0,7627.027763,0,5,4,10,0
6,6,5,5,0,0.0,21290.976254,2,3571.451686,0,0.0,0.0,7687.695617,0.0,7687.695617,1,4,3,5,1
7,7,3,3,0,0.0,11340.45774,1,1781.762704,1,987.234941,0.554078,0.0,0.0,0.0,1,3,3,3,0
8,8,7,7,0,0.0,29081.33524,1,5543.605486,3,4658.050113,0.840256,2504.477424,0.0,2504.477424,2,2,3,7,0
9,9,3,3,0,0.0,5609.829189,1,2662.644207,0,0.0,0.0,0.0,0.0,0.0,1,3,2,3,1
10,10,7,5,2,0.285714,27267.079323,0,0.0,0,0.0,0.0,3331.009882,4616.20307,-1285.193188,3,3,4,7,0
11,11,9,8,1,0.111111,42556.477942,0,0.0,0,0.0,0.0,6706.252763,9630.900752,-2924.647989,6,5,3,9,0
12,12,6,6,0,0.0,15494.06317,1,1109.519498,2,1008.953817,0.909361,0.0,4145.569378,-4145.569378,2,3,3,6,0
13,13,8,8,0,0.0,38279.369485,3,14306.884615,1,5921.512335,0.413893,5469.595272,4702.949726,766.645546,1,4,4,8,1
14,14,10,9,1,0.1,31782.749276,3,8795.008303,3,5916.140247,0.67267,2490.946015,0.0,2490.946015,2,5,4,10,1
