feature_id,account_id,transaction_count,successful_transactions,failed_transactions,failed_tx_ratio,total_volume,borrow_count,borrow_volume,repay_count,repay_volume,repayment_ratio,deposit_volume,withdrawal_volume,net_deposit_flow,unique_counterparties,unique_tokens,unique_protocols,active_days,historical_liquidation_count,borrow_to_repay_ratio,withdrawal_to_deposit_ratio,liquidation_rate,borrow_intensity,transactions_per_active_day,borrow_volume_ratio,repay_to_borrow_ratio,borrow_frequency,repay_frequency,withdrawal_pressure,deposit_retention_ratio,average_transaction_value,average_borrow_value,average_repay_value,future_liquidation_count,future_borrow_count,future_repay_count,future_failed_tx_ratio,risk_label,risk_label_id
1,1,11,11,0,0.0,56308.658193,1,6676.502105,1,4753.348729,0.711952,9252.262888,6595.657316,2656.605572,7,5,1,11,0,1.404589,0.71287,0.0,0.11857,1.0,0.11857,0.711952,0.090909,0.090909,0.117134,0.28713,5118.9689266364,6676.502105,4753.348729,0.0,0.0,10.0,0.0,LOW,0
2,2,17,17,0,0.0,56049.867865,4,23343.036134,4,7799.224799,0.334114,5385.268415,3810.827068,1574.441347,3,5,4,15,2,2.992994,0.707639,0.5,0.416469,1.133333,0.416469,0.334114,0.266667,0.266667,0.06799,0.292361,3297.0510508824,5835.7590335,1949.80619975,1.0,2.0,0.0,0.125,MEDIUM,1
3,3,21,20,1,0.047619,34370.270185,3,12592.68848,15,7017.629474,0.557278,5133.266145,0.0,5133.266145,1,5,3,19,1,1.794436,0.0,0.333333,0.366383,1.105263,0.366383,0.557278,0.157895,0.789474,0.0,1.0,1636.679532619,4197.5628266667,467.8419649333,0.0,0.0,4.0,0.2,HIGH,2
4,4,17,15,2,0.117647,52942.765467,2,9711.786069,9,13863.92388,1.0,0.0,2252.935557,-2252.935557,4,5,4,17,1,0.700508,0.0,0.5,0.183439,1.0,0.183439,1.427536,0.117647,0.529412,0.042554,0.0,3114.2803215882,4855.8930345,1540.4359866667,1.0,0.0,2.0,0.0,MEDIUM,1
5,5,13,13,0,0.0,63896.922374,0,0.0,0,0.0,0.0,0.0,19450.500491,-19450.500491,10,5,3,13,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.304404,0.0,4915.1478749231,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
6,6,9,7,2,0.222222,11187.561156,2,4539.079274,2,482.305681,0.106256,0.0,1400.610099,-1400.610099,1,4,2,9,3,9.411208,0.0,1.5,0.405726,1.0,0.405726,0.106256,0.222222,0.222222,0.125194,0.0,1243.0623506667,2269.539637,241.1528405,1.0,2.0,1.0,0.0,MEDIUM,1
7,7,13,13,0,0.0,67547.99013,1,8682.499755,4,8117.846202,0.934966,16878.774422,9413.119594,7465.654828,5,5,3,13,0,1.069557,0.55769,0.0,0.128538,1.0,0.128538,0.934966,0.076923,0.307692,0.139355,0.44231,5195.9992407692,8682.499755,2029.4615505,0.0,0.0,11.0,0.0,LOW,0
8,8,17,17,0,0.0,90992.708917,0,0.0,0,0.0,0.0,12313.458937,13277.007783,-963.548846,12,5,2,17,0,0.0,1.078252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.145913,-0.078252,5352.5122892353,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
9,9,12,10,2,0.166667,64565.952172,5,29814.911822,1,2144.199701,0.071917,484.508106,9183.398184,-8698.890078,1,4,3,12,3,13.904914,18.954065,0.6,0.461775,1.0,0.461775,0.071917,0.416667,0.083333,0.142233,-17.954065,5380.4960143333,5962.9823644,2144.199701,2.0,2.0,0.0,0.16666666666666666,HIGH,2
10,10,17,15,2,0.117647,61693.388654,1,8373.067067,3,7739.318991,0.924311,11218.655388,1940.051754,9278.603634,8,5,2,16,0,1.081887,0.172931,0.0,0.135721,1.0625,0.135721,0.924311,0.0625,0.1875,0.031447,0.827069,3629.022862,8373.067067,2579.772997,0.0,0.0,13.0,0.0,LOW,0
