event_id,transaction_id,account_id,protocol_id,event_type,token_id,amount,collateral_amount,debt_amount,timestamp
1,1,545,3,DEPOSIT,2,3209.961036,3209.961036,,2025-01-01 00:09:59
2,3,314,1,DEPOSIT,3,5280.225797,5280.225797,,2025-01-01 00:25:49
3,6,698,4,WITHDRAW,1,9500.143369,,,2025-01-01 00:54:42
4,13,501,3,BORROW,5,1756.930679,4342.1092002831,1756.930679,2025-01-01 02:59:26
5,16,235,2,BORROW,4,927.719492,2239.4800886024,927.719492,2025-01-01 03:21:16
6,17,631,1,DEPOSIT,4,6632.138852,6632.138852,,2025-01-01 03:21:46
7,20,200,4,DEPOSIT,1,703.134996,703.134996,,2025-01-01 04:02:36
8,21,165,1,WITHDRAW,1,6850.780657,,,2025-01-01 04:39:54
9,22,738,3,BORROW,3,480.457211,729.0672672777,480.457211,2025-01-01 04:41:25
10,23,391,4,BORROW,1,7710.084789,16290.7809424429,7710.084789,2025-01-01 05:03:45
11,25,397,4,BORROW,2,6164.824167,13897.8762370313,6164.824167,2025-01-01 05:38:27
12,27,398,1,WITHDRAW,3,4323.048504,,,2025-01-01 06:21:18
13,28,728,2,WITHDRAW,4,8402.952127,,,2025-01-01 06:31:27
14,34,684,2,WITHDRAW,5,6415.969029,,,2025-01-01 08:03:26
15,36,628,1,DEPOSIT,1,7871.752941,7871.752941,,2025-01-01 09:06:38
16,37,891,3,BORROW,1,9322.4702,15501.2950867576,9322.4702,2025-01-01 09:32:31
17,38,219,3,BORROW,1,6269.993691,9315.5678251733,6269.993691,2025-01-01 09:43:13
18,41,1000,4,BORROW,2,1060.982445,2389.6795441344,1060.982445,2025-01-01 10:24:45
19,43,21,3,WITHDRAW,5,8857.182587,,,2025-01-01 11:31:31
20,44,139,1,DEPOSIT,2,9929.039054,9929.039054,,2025-01-01 11:58:12
21,45,650,3,DEPOSIT,1,6032.097457,6032.097457,,2025-01-01 12:26:48
22,47,25,2,WITHDRAW,1,7008.143702,,,2025-01-01 13:21:25
23,49,640,1,BORROW,5,3096.833642,4929.0035032475,3096.833642,2025-01-01 14:20:03
24,51,725,2,WITHDRAW,3,4893.415891,,,2025-01-01 14:28:44
25,52,87,1,WITHDRAW,5,239.844511,,,2025-01-01 14:34:57
26,54,755,1,WITHDRAW,5,1570.875468,,,2025-01-01 15:01:36
27,55,647,1,DEPOSIT,1,571.102493,571.102493,,2025-01-01 15:24:48
28,56,191,1,BORROW,1,4386.396738,8815.1541921512,4386.396738,2025-01-01 15:33:11
29,57,82,2,BORROW,5,4812.836685,8158.4250505468,4812.836685,2025-01-01 16:11:12
30,58,191,1,REPAY,5,2185.586635,,2185.586635,2025-01-01 16:27:52
31,59,203,2,WITHDRAW,5,7002.670532,,,2025-01-01 16:46:47
32,60,869,4,WITHDRAW,2,6356.616278,,,2025-01-01 17:08:07
33,63,82,3,BORROW,1,5922.572371,10863.4569078023,5922.572371,2025-01-01 17:46:54
34,68,15,2,WITHDRAW,2,5933.442264,,,2025-01-01 19:28:58
35,70,234,4,DEPOSIT,4,4356.724659,4356.724659,,2025-01-01 20:00:46
36,73,701,2,DEPOSIT,5,5301.070837,5301.070837,,2025-01-01 20:44:19
37,75,705,4,WITHDRAW,3,7870.193323,,,2025-01-01 21:39:23
38,78,330,4,BORROW,4,6065.737788,11471.6393831604,6065.737788,2025-01-01 21:44:38
39,81,497,2,DEPOSIT,5,8243.123056,8243.123056,,2025-01-01 22:31:05
40,82,303,3,DEPOSIT,2,2489.782432,2489.782432,,2025-01-01 23:01:42
41,84,477,4,WITHDRAW,4,5557.09098,,,2025-01-01 23:22:10
42,86,18,4,BORROW,3,3751.337746,7619.7433782603,3751.337746,2025-01-01 23:32:22
43,87,27,2,DEPOSIT,4,3272.83855,3272.83855,,2025-01-01 23:39:47
44,89,509,2,BORROW,1,1600.542268,2055.975528216,1600.542268,2025-01-02 00:01:16
45,93,44,2,BORROW,2,9548.768099,22574.020229186,9548.768099,2025-01-02 00:17:46
46,95,42,2,BORROW,1,2372.109304,5706.6730981882,2372.109304,2025-01-02 00:39:22
47,98,267,4,BORROW,3,385.293034,800.0035592399,385.293034,2025-01-02 01:29:22
48,99,789,1,BORROW,2,512.434873,927.2410873155,512.434873,2025-01-02 01:57:58
49,100,211,3,BORROW,5,8346.004013,10650.1578710548,8346.004013,2025-01-02 02:06:33
50,101,370,3,DEPOSIT,2,2175.892519,2175.892519,,2025-01-02 02:09:56
51,105,100,2,BORROW,2,9712.307962,20930.2926614445,9712.307962,2025-01-02 03:03:17
52,107,124,4,DEPOSIT,1,1754.067081,1754.067081,,2025-01-02 03:14:57
53,110,673,3,BORROW,3,7216.821287,9437.6800271266,7216.821287,2025-01-02 03:44:32
54,113,613,2,WITHDRAW,5,3738.941943,,,2025-01-02 05:35:28
55,114,150,2,DEPOSIT,4,5806.315796,5806.315796,,2025-01-02 05:36:41
56,115,152,4,DEPOSIT,4,3609.68524,3609.68524,,2025-01-02 05:43:23
57,118,84,1,WITHDRAW,5,5200.492776,,,2025-01-02 06:03:46
58,119,681,4,DEPOSIT,3,1178.04424,1178.04424,,2025-01-02 06:22:21
