feature,f_score,p_value,mutual_information
active_days,0.0008646903430722767,0.9991356841431825,0.0
average_borrow_value,12.29722097902726,5.2989945325812786e-06,0.07491458462237799
average_repay_value,34.12771012217813,4.611484118537434e-15,0.02747384180309065
average_transaction_value,8.783172875593364,0.000165474467548112,0.030141518473154383
borrow_count,200.3339522305571,7.339158315388336e-74,0.13754123947612373
borrow_frequency,214.27648609889008,3.879997983114205e-78,0.14499259242129847
borrow_intensity,74.7752948695406,5.5209679632022795e-31,0.06287028585478316
borrow_to_repay_ratio,10.799857723959922,2.2896362138920792e-05,0.047609786507156526
borrow_volume,152.33275628751554,1.868901005491191e-58,0.13149363019866467
borrow_volume_ratio,74.7752948695406,5.5209679632022795e-31,0.07830528776347379
deposit_retention_ratio,0.379429028809513,0.6843507485913506,0.0
deposit_volume,11.358195764220456,1.326035911117994e-05,0.0
failed_transactions,2.5235389231803675,0.08068738890374529,0.0
failed_tx_ratio,2.7900804933388814,0.06189588792661368,0.015966603404435897
historical_liquidation_count,217.32163988274493,4.633179725052327e-79,0.16361859105253673
liquidation_rate,110.4632320420612,4.649801171545946e-44,0.12519521030288971
net_deposit_flow,1.2542352329004116,0.28574369680932266,0.002005369697090753
repay_count,9.093227832506182,0.00012202468523601634,0.0570263186367701
repay_frequency,9.377788873687239,9.228100894060812e-05,0.03375591764075203
repay_to_borrow_ratio,8.99299785225571,0.00013464847619174163,0.06320430876943406
repay_volume,1.8530000687553403,0.15730563624316524,0.028344143939630806
repayment_ratio,9.42765253828573,8.787345955454495e-05,0.04307866707787644
successful_transactions,0.039956798703346785,0.9608324859439795,0.0
total_volume,8.847479673863218,0.00015534175055756245,0.028781828651750274
transaction_count,0.012983070829389255,0.987101012561086,0.0
transactions_per_active_day,0.354167723159519,0.7018455099265405,0.016368154071896734
unique_counterparties,17.256992757963634,4.2873485306449944e-08,0.020168435768677107
unique_protocols,2.113143149788702,0.12139847570472183,0.01221069251525475
unique_tokens,1.979217554873659,0.13871985177050064,0.0
withdrawal_pressure,9.304213128542996,9.919233989676501e-05,0.0
withdrawal_to_deposit_ratio,0.5233619062682229,0.5926878756529776,0.0
withdrawal_volume,6.456094136714225,0.0016374009932349231,0.004579147556851071
