account_id,proposed_label,future_liquidation_count,future_failed_tx_ratio,future_borrow_count,future_repay_count
1,LOW,0,0.0,0,7
2,LOW,0,0.0,0,4
3,LOW,0,0.0,0,5
4,LOW,0,0.0,0,1
5,MEDIUM,0,0.166667,0,4
6,HIGH,4,0.0,5,0
7,LOW,0,0.0,0,9
8,LOW,0,0.0,0,11
9,HIGH,2,0.0,1,0
10,LOW,0,0.0,0,5
11,LOW,0,0.0,1,1
12,LOW,0,0.0,0,0
13,MEDIUM,1,0.0,1,1
14,LOW,0,0.0,0,5
15,LOW,0,0.0,0,3
16,MEDIUM,0,0.125,2,6
17,LOW,0,0.0,0,0
18,MEDIUM,1,0.0,1,0
19,LOW,0,0.0,0,3
20,LOW,0,0.0,1,0
21,LOW,0,0.0,0,4
22,LOW,0,0.0,0,3
23,HIGH,2,0.0,2,0
24,MEDIUM,0,0.142857,0,5
25,LOW,0,0.0,0,2
26,LOW,0,0.0,0,8
27,LOW,0,0.0,0,0
28,LOW,0,0.0,1,5
29,MEDIUM,1,0.0,1,3
30,HIGH,0,0.25,0,0
31,HIGH,2,0.333333,1,0
32,MEDIUM,0,0.1,0,8
33,HIGH,2,0.0,1,0
34,LOW,0,0.0,1,2
35,LOW,0,0.0,1,1
36,LOW,0,0.0,0,1
37,HIGH,0,0.2,1,0
38,MEDIUM,1,0.0,0,1
39,MEDIUM,1,0.166667,0,8
40,LOW,0,0.0,1,3
41,MEDIUM,1,0.0,0,1
42,MEDIUM,1,0.0,0,2
43,LOW,0,0.0,0,7
44,LOW,0,0.0,0,0
45,LOW,0,0.090909,1,5
46,LOW,0,0.0,1,2
47,LOW,0,0.0,1,2
48,HIGH,0,0.2,1,3
49,LOW,0,0.0,0,10
50,MEDIUM,1,0.0,0,4
51,LOW,0,0.0,0,2
52,LOW,0,0.0,0,4
53,LOW,0,0.090909,1,9
54,HIGH,2,0.1,3,0
55,LOW,0,0.0,0,0
56,LOW,0,0.0,0,0
57,LOW,0,0.0,0,0
58,LOW,0,0.0,0,7
59,LOW,0,0.0,0,3
60,LOW,0,0.0,0,0
61,HIGH,0,0.25,1,1
62,LOW,0,0.0,0,8
63,MEDIUM,1,0.0,0,2
64,LOW,0,0.0,2,2
65,MEDIUM,0,0.1,1,0
66,LOW,0,0.0,0,6
67,LOW,0,0.0,0,0
68,MEDIUM,1,0.142857,1,1
69,LOW,0,0.0,0,0
70,LOW,0,0.0,1,3
71,LOW,0,0.0,1,6
72,LOW,0,0.0,0,8
73,LOW,0,0.0,0,5
74,LOW,0,0.0,0,5
75,LOW,0,0.0,1,0
76,LOW,0,0.0,1,4
77,LOW,0,0.0,0,7
78,LOW,0,0.0,0,2
79,LOW,0,0.0,0,0
80,LOW,0,0.0,0,5
81,LOW,0,0.0,1,8
82,MEDIUM,1,0.0,2,2
83,LOW,0,0.0,0,5
84,LOW,0,0.0,0,0
85,LOW,0,0.0,0,0
86,LOW,0,0.0,0,0
87,MEDIUM,1,0.0,0,0
88,LOW,0,0.0,0,8
89,LOW,0,0.0,0,9
90,HIGH,0,0.333333,0,5
