transaction_id,transaction_hash,block_number,timestamp,from_account_id,to_account_id,transaction_type,amount,token_id,protocol_id,gas_used,gas_price,status,chain_id
1,0x9246536a8da02fb353d4559389c543a50395098039c711fd9dc6d827928fc284,10000005,2025-01-01 00:25:49,176,,BORROW,3670.369724,3,4.0,60743,77.7886,SUCCESS,1
2,0x5719ce33e01b4cabc472475ad5534e3d8d72ff8bbec5c0fb2d5a267cd1603ef7,10000009,2025-01-01 00:47:27,543,822.0,TRANSFER,4139.960093,4,,141259,95.6656,SUCCESS,1
3,0xb705b7f3150f3d26df522315482363116b9e5a8c0fea5eec2b5058ffcf42c191,10000010,2025-01-01 00:51:32,529,31.0,SWAP,7703.817092,4,2.0,156619,94.9279,SUCCESS,1
4,0x611991ff31e3087152c63c11ff6ca4cd69ed0f55209a6b159137b95e4eceb380,10000010,2025-01-01 00:54:42,87,791.0,SWAP,624.068602,2,4.0,194061,93.0267,SUCCESS,1
5,0x5789fedafd45bdafd91441d8309d2efb0e733f0573d32f7ab85e8a12260d573b,10000016,2025-01-01 01:20:19,155,647.0,TRANSFER,9726.884861,5,,199486,73.0711,SUCCESS,1
6,0xc5b7487481b8e6f7571451734cdbbb1ab6698710c1ac585c57c5725af4402b92,10000037,2025-01-01 03:09:00,895,,DEPOSIT,8271.76552,3,1.0,181012,92.8406,SUCCESS,1
7,0x45414a58ed40b35d866814ad78aaf6875e84c007beb8e17fb6b3e625e648539d,10000038,2025-01-01 03:11:07,718,,DEPOSIT,6977.734946,5,4.0,225882,68.3881,SUCCESS,1
8,0x0bda7aaf340cd9cdee761912eff3d0b6497a4aabfd287568da00e038daab5625,10000040,2025-01-01 03:21:16,795,38.0,TRANSFER,3351.584318,5,,215000,89.1888,SUCCESS,1
9,0x26fc6d8195a9d6b9a2f7f4ab57d144c13b8393673e0ac5b69aa59e2729d98d86,10000047,2025-01-01 03:55:48,533,96.0,TRANSFER,5522.340655,5,,219455,67.2117,SUCCESS,1
10,0xf092b481a6e3ef1b84369a3ada7144a301746af5383c6aabbbbbea420061e0c8,10000048,2025-01-01 04:02:36,24,,BORROW,2489.263813,5,3.0,211450,48.0471,SUCCESS,1
11,0x7735550a2f4a384f311181a42edf58418d6a28f1e732fdcdd101351556f60882,10000060,2025-01-01 05:03:45,518,,BORROW,2671.588934,1,3.0,53456,14.296,SUCCESS,1
12,0xb640d1b465f789b3490baea515c4881e757c104058d98b6aedea54bbcecba192,10000067,2025-01-01 05:35:36,667,587.0,SWAP,3396.413143,1,4.0,216496,99.01,SUCCESS,1
13,0xaa8ab63936e48cd3422348ecca586b069252db5a5b8512199e94d8bda8fb6d1f,10000071,2025-01-01 05:58:14,580,,WITHDRAW,3509.867979,5,2.0,226727,83.3571,SUCCESS,1
